window_end_ns,elapsed_s,fps,rate_kib_s,missing_frames,loss_rate,crc_errors,old_frames,avg_interval_ms,interval_jitter_ms,bandwidth_jitter_kib_s
1785505239857382600,1.0318355999997948,20.35207934287611,81.68656845627032,0,0.0,0,0,49.134057142857145,52.57564020700624,2.0371024820482675
1785505240869172400,1.0117860000000292,19.76702583352549,79.3383556404197,0,0.0,0,0,47.645095,45.38482143065101,1.9952541020764232
1785505241892842000,1.02367130000016,19.537521468069755,78.41720042360028,0,0.0,0,0,49.96441,64.13221898833116,1.98381307122886
1785505242924247900,1.0314077999998972,20.36052083375954,81.72044983081221,0,0.0,0,0,53.07946666666666,61.607488203596915,1.9668466873438262
1785505243939840300,1.0155887999999322,19.693009611765444,79.04127881284764,0,0.0,0,0,46.70688,49.89124519827418,1.9377590818289179
1785505244964953900,1.0251160000000255,20.48548652054936,82.22202109322058,0,0.0,0,0,49.982190476190475,63.91364632809573,1.9421888249039199
1785505245987271600,1.0223152000000937,19.563437969031632,78.52122075460939,0,0.0,0,0,50.076260000000005,61.741972179252414,1.931954700694382
1785505247013255600,1.0259848000000602,20.468139489004873,82.15239580059574,0,0.0,0,0,50.094119047619046,51.79249427587572,1.9329882184499276
1785505248043774500,1.030522099999871,19.40763812828711,77.89589131568363,0,0.0,0,0,54.11342499999999,55.40974102415638,1.9474831022879964
1785505249060027600,1.0162490000000162,20.664226975868775,82.93942663166081,0,0.0,0,0,46.121338095238094,51.97810146943111,1.9814449708110726
1785505250084182500,1.0241539999999532,19.528313124784862,78.38024115514236,0,0.0,0,0,49.82983,55.81676368472015,1.9764709446195523
1785505251107497200,1.02331560000016,20.521528255795882,82.36668079230574,0,0.0,0,0,50.06899047619048,61.47703230813037,2.0155711355122534
1785505252134119600,1.0266275999999834,19.481260780442998,78.19138848400462,0,0.0,0,0,53.689385,59.06354296753781,2.0465668170639835
